customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
7760-OYPDY;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check; R$ 80,65 ; R$ 144,15 ;Yes
7639-LIAYI;Male;0;No;No;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic); R$ 79,75 ; R$ 4.217,80 ;No
2954-PIBKO;Female;0;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic); R$ 64,15 ; R$ 4.254,10 ;No
8012-SOUDQ;Female;1;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check; R$ 90,25 ; R$ 3.838,75 ;No
9420-LOJKX;Female;0;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic); R$ 99,10 ; R$ 1.426,40 ;Yes
6575-SUVOI;Female;1;Yes;No;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic); R$ 69,50 ; R$ 1.752,65 ;No
7495-OOKFY;Female;1;Yes;No;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic); R$ 80,65 ; R$ 633,30 ;Yes
4667-QONEA;Female;1;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic); R$ 74,85 ; R$ 4.456,35 ;No
1658-BYGOY;Male;1;No;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 95,45 ; R$ 1.752,55 ;Yes
8769-KKTPH;Female;0;Yes;Yes;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic); R$ 99,65 ; R$ 6.311,20 ;No
5067-XJQFU;Male;1;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check; R$ 108,45 ; R$ 7.076,35 ;No
3957-SQXML;Female;0;Yes;Yes;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic); R$ 24,95 ; R$ 894,30 ;No
5954-BDFSG;Female;0;No;No;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic); R$ 107,50 ; R$ 7.853,70 ;No
0434-CSFON;Female;0;Yes;No;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 100,50 ; R$ 4.707,10 ;No
1215-FIGMP;Male;0;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic); R$ 89,90 ; R$ 5.450,70 ;No
0526-SXDJP;Male;0;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic); R$ 42,10 ; R$ 2.962,00 ;No
0557-ASKVU;Female;0;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic); R$ 54,40 ; R$ 957,10 ;No
5698-BQJOH;Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check; R$ 94,40 ; R$ 857,25 ;Yes
5122-CYFXA;Female;0;No;No;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 75,30 ; R$ 244,10 ;No
8627-ZYGSZ;Male;0;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check; R$ 78,90 ; R$ 3.650,35 ;No
3410-YOQBQ;Female;0;No;No;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check; R$ 79,20 ; R$ 2.497,20 ;No
3170-NMYVV;Female;0;Yes;Yes;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic); R$ 20,15 ; R$ 930,90 ;No
7410-OIEDU;Male;0;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check; R$ 79,85 ; R$ 887,35 ;No
2273-QCKXA;Male;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check; R$ 49,05 ; R$ 49,05 ;No
0731-EBJQB;Female;0;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check; R$ 20,40 ; R$ 1.090,65 ;No
1891-QRQSA;Male;1;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic); R$ 111,60 ; R$ 7.099,00 ;No
8028-PNXHQ;Male;0;Yes;Yes;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic); R$ 24,25 ; R$ 1.424,60 ;No
5630-AHZIL;Female;0;No;Yes;3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic); R$ 64,50 ; R$ 177,40 ;No
2673-CXQEU;Female;1;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check; R$ 110,50 ; R$ 6.139,50 ;No
6416-JNVRK;Female;0;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic); R$ 55,65 ; R$ 2.688,85 ;No
5590-ZSKRV;Female;0;Yes;Yes;8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check; R$ 54,65 ; R$ 482,25 ;No
0191-ZHSKZ;Male;1;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 74,75 ; R$ 2.111,30 ;No
3887-PBQAO;Female;0;Yes;Yes;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic); R$ 25,90 ; R$ 1.216,60 ;No
5919-TMRGD;Female;0;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check; R$ 79,35 ; R$ 79,35 ;Yes
8108-UXRQN;Female;0;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check; R$ 50,55 ; R$ 565,35 ;No
9191-MYQKX;Female;0;Yes;No;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic); R$ 75,15 ; R$ 496,90 ;Yes
9919-YLNNG;Female;0;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic); R$ 103,80 ; R$ 4.327,50 ;No
0318-ZOPWS;Female;0;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic); R$ 20,15 ; R$ 973,35 ;No
4445-ZJNMU;Male;0;No;No;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic); R$ 99,30 ; R$ 918,75 ;No
4808-YNLEU;Female;0;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic); R$ 62,15 ; R$ 2.215,45 ;No
1862-QRWPE;Female;0;Yes;Yes;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic); R$ 20,65 ; R$ 1.057,00 ;No
2796-NNUFI;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check; R$ 19,95 ; R$ 927,10 ;No
3016-KSVCP;Male;0;Yes;No;29;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check; R$ 33,75 ; R$ 1.009,25 ;No
4767-HZZHQ;Male;0;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic); R$ 82,05 ; R$ 2.570,20 ;No
2424-WVHPL;Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check; R$ 74,70 ; R$ 74,70 ;No
7233-PAHHL;Male;0;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check; R$ 84,00 ; R$ 5.714,25 ;No
6067-NGCEU;Female;0;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic); R$ 111,05 ; R$ 7.107,00 ;No
9848-JQJTX;Male;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic); R$ 100,90 ; R$ 7.459,05 ;No
8637-XJIVR;Female;0;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check; R$ 78,95 ; R$ 927,35 ;Yes
9803-FTJCG;Male;0;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic); R$ 66,85 ; R$ 4.748,70 ;No
0278-YXOOG;Male;0;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; R$ 21,05 ; R$ 113,85 ;Yes
3212-KXOCR;Male;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic); R$ 21,00 ; R$ 1.107,20 ;No
4598-XLKNJ;Female;1;Yes;No;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 98,50 ; R$ 2.514,50 ;Yes
6380-ARCEH;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; R$ 20,20 ; R$ 20,20 ;No
3679-XASPY;Female;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check; R$ 19,45 ; R$ 19,45 ;No
7123-WQUHX;Male;0;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic); R$ 95,00 ; R$ 3.605,60 ;No
5386-THSLQ;Female;1;Yes;No;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic); R$ 45,55 ; R$ 3.027,25 ;No
3192-NQECA;Male;0;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic); R$ 110,00 ; R$ 7.611,85 ;Yes
6180-YBIQI;Male;0;No;No;5;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check; R$ 24,30 ; R$ 100,20 ;No
6728-DKUCO;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check; R$ 104,15 ; R$ 7.303,05 ;No
9750-BOOHV;Female;0;No;No;32;No;No phone service;DSL;Yes;No;No;No;No;No;One year;No;Mailed check; R$ 30,15 ; R$ 927,65 ;No
8597-CWYHH;Male;0;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check; R$ 94,35 ; R$ 3.921,30 ;No
2848-YXSMW;Male;0;Yes;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic); R$ 19,40 ; R$ 1.363,25 ;No
0486-HECZI;Male;0;Yes;No;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check; R$ 96,75 ; R$ 5.238,90 ;Yes
4549-ZDQYY;Female;0;No;No;52;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Credit card (automatic); R$ 57,95 ; R$ 3.042,25 ;No
5712-AHQNN;Female;0;No;No;43;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check; R$ 91,65 ; R$ 3.954,10 ;No
4846-WHAFZ;Female;1;Yes;No;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; R$ 76,50 ; R$ 2.868,15 ;Yes
5256-SKJGO;Female;0;Yes;Yes;64;No;No phone service;DSL;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check; R$ 54,60 ; R$ 3.423,50 ;No
3071-VBYPO;Male;0;Yes;Yes;3;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check; R$ 89,85 ; R$ 248,40 ;No
9560-BBZXK;Female;0;No;No;36;No;No phone service;DSL;Yes;No;No;No;No;No;Two year;No;Bank transfer (automatic); R$ 31,05 ; R$ 1.126,35 ;No
5299-RULOA;Female;0;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check; R$ 100,25 ; R$ 1.064,65 ;Yes
8402-OOOHJ;Female;0;No;No;41;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check; R$ 20,65 ; R$ 835,15 ;No
9445-ZUEQE;Male;0;Yes;Yes;27;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic); R$ 85,20 ; R$ 2.151,60 ;No
1091-SOZGA;Female;0;Yes;Yes;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic); R$ 99,80 ; R$ 5.515,45 ;No
2928-HLDBA;Female;0;No;No;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; R$ 20,70 ; R$ 112,75 ;No
0404-SWRVG;Male;0;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; R$ 74,40 ; R$ 229,55 ;Yes
6497-TILVL;Female;0;Yes;Yes;7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check; R$ 50,70 ; R$ 350,35 ;No
7219-TLZHO;Female;0;Yes;Yes;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; R$ 20,85 ; R$ 62,90 ;No
4622-YNKIJ;Male;0;No;No;33;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;Two year;Yes;Electronic check; R$ 88,95 ; R$ 3.027,65 ;No
4412-YLTKF;Female;1;No;No;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check; R$ 78,05 ; R$ 2.135,50 ;Yes
6734-PSBAW;Male;0;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic); R$ 23,55 ; R$ 1.723,95 ;No
3930-ZGWVE;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; R$ 19,75 ; R$ 19,75 ;No
2639-UGMAZ;Male;1;No;No;71;No;No phone service;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check; R$ 56,45 ; R$ 3.985,35 ;No
2876-GZYZC;Female;0;No;No;13;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check; R$ 85,95 ; R$ 1.215,65 ;No
6207-WIOLX;Female;0;Yes;Yes;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic); R$ 58,60 ; R$ 1.502,65 ;Yes
8587-XYZSF;Male;0;No;No;67;Yes;No;DSL;No;No;No;Yes;No;No;Two year;No;Bank transfer (automatic); R$ 50,55 ; R$ 3.260,10 ;No
3091-FYHKI;Male;0;No;No;1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check; R$ 35,45 ; R$ 35,45 ;Yes
2372-HWUHI;Male;0;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check; R$ 44,35 ; R$ 81,25 ;Yes
7799-LGRDP;Female;0;No;No;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic); R$ 25,70 ; R$ 1.188,20 ;No
7850-VWJUU;Female;0;No;No;23;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic); R$ 75,00 ; R$ 1.778,50 ;No
3774-VBNXY;Female;0;Yes;Yes;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check; R$ 20,20 ; R$ 1.277,75 ;No
6217-KDYWC;Male;0;No;Yes;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check; R$ 19,60 ; R$ 1.170,55 ;No
0390-DCFDQ;Female;1;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check; R$ 70,45 ; R$ 70,45 ;Yes
3146-MSEGF;Female;1;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic); R$ 88,05 ; R$ 6.425,65 ;No
4080-OGPJL;Female;0;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check; R$ 71,15 ; R$ 563,65 ;Yes
1095-WGNGG;Female;0;Yes;No;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic); R$ 101,05 ; R$ 5.971,25 ;No
2636-SJDOU;Male;0;No;No;64;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;One year;Yes;Credit card (automatic); R$ 84,30 ; R$ 5.289,05 ;No
1131-QQZEB;Male;1;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic); R$ 23,95 ; R$ 1.756,20 ;No
5716-EZXZN;Female;0;Yes;Yes;65;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Credit card (automatic); R$ 99,05 ; R$ 6.416,70 ;No
