Customer;State;Customer Lifetime Value;Response;Coverage;Education;Effective To Date;EmploymentStatus;Gender;Income;Location Code;Marital Status;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Policy Type;Policy;Renew Offer Type;Sales Channel;Total Claim Amount;Vehicle Class;Vehicle Size
SJ95423;Arizona;8.819.018.934;Yes;Basic;High School or Below;01/10/2011;Employed;M;99845;Suburban;Married;110;23;25;1;8;Corporate Auto;Corporate L3;Offer2;Branch;528;SUV;Medsize
IL66569;California;5.384.431.665;No;Basic;College;1/18/11;Employed;M;83689;Urban;Single;70;21;10;2;8;Corporate Auto;Corporate L3;Offer4;Call Center;307.139.132;Four-Door Car;Medsize
BW63560;Oregon;7.463.139.377;No;Basic;Bachelor;1/17/11;Employed;F;24599;Rural;Married;64;12;50;1;2;Corporate Auto;Corporate L2;Offer2;Branch;42.920.271;Four-Door Car;Medsize
FV94802;Nevada;2.566.867.823;No;Basic;High School or Below;02/06/2011;Medical Leave;M;25049;Suburban;Married;67;14;7;0;1;Personal Auto;Personal L3;Offer2;Call Center;454.245.098;Two-Door Car;Medsize
OE15005;California;3.945.241.604;No;Basic;College;01/05/2011;Medical Leave;M;28855;Suburban;Married;101;12;59;0;1;Personal Auto;Personal L2;Offer3;Call Center;647.442.031;SUV;Medsize
WC83389;Oregon;5.710.333.115;No;Basic;College;2/27/11;Employed;M;51148;Urban;Married;72;9;1;0;7;Personal Auto;Personal L2;Offer2;Branch;308.981.664;Four-Door Car;Medsize
FL50705;California;8.162.617.053;No;Premium;High School or Below;1/14/11;Employed;F;66140;Suburban;Married;101;11;21;0;3;Corporate Auto;Corporate L2;Offer1;Call Center;484.8;Four-Door Car;Small
ZK25313;Oregon;2.872.051.273;No;Basic;High School or Below;2/19/11;Employed;M;57749;Suburban;Single;74;31;21;0;1;Personal Auto;Personal L2;Offer1;Branch;355.2;Two-Door Car;Medsize
SV62436;Washington;3.041.791.561;No;Extended;Bachelor;1/21/11;Disabled;F;13789;Suburban;Divorced;79;8;49;0;1;Personal Auto;Personal L3;Offer4;Call Center;379.2;Four-Door Car;Medsize
YH23384;Arizona;2.412.750.402;Yes;Basic;Bachelor;1/26/11;Medical Leave;M;14072;Suburban;Divorced;71;13;3;0;2;Personal Auto;Personal L3;Offer1;Agent;511.2;Four-Door Car;Medsize
TZ98966;Nevada;2.450.190.996;No;Basic;Bachelor;2/24/11;Unemployed;F;0;Suburban;Single;73;4;44;3;1;Corporate Auto;Corporate L3;Offer1;Branch;554.376.763;Four-Door Car;Medsize
HM55802;California;239.210.789;No;Basic;Bachelor;02/05/2011;Disabled;F;17870;Suburban;Married;61;30;91;0;1;Corporate Auto;Corporate L2;Offer2;Branch;439.2;Four-Door Car;Medsize
FS42516;Oregon;5.802.065.978;No;Basic;College;1/29/11;Employed;M;97541;Suburban;Married;72;22;1;0;3;Personal Auto;Personal L3;Offer2;Call Center;389.185.006;Four-Door Car;Large
US89481;California;3.946.372.085;No;Premium;Bachelor;2/28/11;Unemployed;F;0;Suburban;Single;111;15;47;0;1;Personal Auto;Personal L3;Offer1;Agent;799.2;Four-Door Car;Small
HO30839;Washington;5.346.916.576;No;Extended;Master;02/12/2011;Disabled;F;10511;Urban;Married;139;33;64;0;1;Corporate Auto;Corporate L1;Offer1;Branch;516.237.951;SUV;Medsize
GE62437;Arizona;1.290.256.014;No;Premium;College;02/02/2011;Employed;F;86584;Suburban;Single;111;33;54;2;2;Personal Auto;Personal L3;Offer1;Call Center;532.8;Four-Door Car;Large
EJ77678;Oregon;3.235.360.468;No;Extended;Master;02/07/2011;Employed;F;75690;Suburban;Married;80;17;44;1;1;Personal Auto;Personal L3;Offer2;Branch;384;Four-Door Car;Small
SV85652;Arizona;245.458.354;No;Basic;College;2/28/11;Employed;M;23158;Suburban;Married;63;4;6;1;1;Personal Auto;Personal L2;Offer4;Call Center;322.294.043;Four-Door Car;Small
UL64533;Nevada;1.897.545.611;No;Extended;High School or Below;1/22/11;Employed;M;65999;Urban;Married;237;1;14;0;6;Corporate Auto;Corporate L2;Offer2;Agent;615.927.769;Luxury SUV;Medsize
PF41800;California;4.715.321.344;No;Basic;Bachelor;1/25/11;Unemployed;M;0;Urban;Married;65;19;56;0;3;Personal Auto;Personal L3;Offer1;Call Center;30.815.089;Four-Door Car;Medsize
AO98601;Washington;5.018.885.233;No;Basic;Bachelor;1/18/11;Employed;M;54500;Suburban;Married;63;28;17;0;6;Corporate Auto;Corporate L2;Offer1;Agent;302.4;Two-Door Car;Small
SK67821;Oregon;4.932.916.345;No;Basic;Bachelor;2/13/11;Employed;F;37260;Rural;Married;62;19;42;0;8;Corporate Auto;Corporate L1;Offer3;Web;15.437.681;Four-Door Car;Medsize
YV55495;Arizona;5.744.229.745;No;Basic;High School or Below;1/15/11;Employed;F;68987;Urban;Married;71;11;40;0;6;Personal Auto;Personal L1;Offer1;Branch;204.475.147;Four-Door Car;Medsize
KY38074;California;1.389.173.567;No;Premium;Bachelor;01/08/2011;Employed;M;42305;Suburban;Married;117;10;62;0;2;Personal Auto;Personal L3;Offer1;Agent;561.6;Four-Door Car;Small
DM79012;Oregon;7.380.976.717;No;Extended;Master;02/06/2011;Employed;F;65706;Suburban;Married;91;19;86;0;8;Personal Auto;Personal L3;Offer2;Web;436.8;Four-Door Car;Small
CM61827;Oregon;3.090.034.104;No;Extended;Bachelor;1/25/11;Unemployed;M;0;Suburban;Single;90;7;79;0;1;Personal Auto;Personal L2;Offer3;Agent;648;Two-Door Car;Small
WC35801;Arizona;2.521.633.095;No;Basic;High School or Below;02/07/2011;Employed;M;53243;Rural;Divorced;66;4;15;2;1;Personal Auto;Personal L3;Offer1;Call Center;157.397.849;Four-Door Car;Medsize
QG25316;Nevada;2.652.061.785;No;Basic;High School or Below;1/18/11;Unemployed;F;0;Suburban;Married;70;7;1;1;1;Corporate Auto;Corporate L3;Offer3;Call Center;484.318.536;Two-Door Car;Medsize
MB98372;Oregon;2.771.045.031;Yes;Basic;College;01/11/2011;Employed;F;50071;Rural;Single;71;3;32;0;1;Corporate Auto;Corporate L3;Offer2;Agent;18.918.935;Two-Door Car;Medsize
IL19217;California;393.900.637;Yes;Extended;Bachelor;1/28/11;Employed;F;60021;Suburban;Married;99;12;28;0;1;Personal Auto;Personal L2;Offer2;Agent;882.871.945;Four-Door Car;Small
SR38658;Arizona;1.223.187.968;No;Basic;High School or Below;02/08/2011;Employed;M;43244;Suburban;Married;103;15;16;0;2;Personal Auto;Personal L2;Offer4;Agent;494.4;Sports Car;Medsize
DH41343;Washington;2.443.665.166;No;Basic;College;2/23/11;Employed;M;92834;Suburban;Married;61;15;56;0;1;Special Auto;Special L2;Offer2;Call Center;292.8;Four-Door Car;Large
HG65722;Oregon;1.281.910.289;No;Premium;Doctor;1/25/11;Disabled;F;10105;Rural;Married;172;5;4;3;3;Personal Auto;Personal L2;Offer1;Branch;0.517753;SUV;Medsize
BU27331;Arizona;4.468.510.542;No;Basic;Bachelor;1/31/11;Unemployed;M;0;Suburban;Single;73;7;57;3;5;Personal Auto;Personal L3;Offer3;Call Center;579.165.954;Four-Door Car;Medsize
XM45289;Oregon;5.514.344.018;No;Basic;High School or Below;01/02/2011;Employed;F;23218;Suburban;Single;71;7;10;0;4;Personal Auto;Personal L2;Offer4;Agent;44.779.344;Two-Door Car;Medsize
KP34198;California;3.343.875.326;No;Extended;Bachelor;02/07/2011;Unemployed;F;0;Suburban;Married;92;11;77;0;1;Corporate Auto;Corporate L2;Offer2;Call Center;529.624.084;Four-Door Car;Medsize
SH90947;Arizona;2.294.478.927;No;Basic;High School or Below;1/18/11;Unemployed;F;0;Suburban;Married;62;11;56;0;1;Personal Auto;Personal L2;Offer4;Branch;313.023.175;Four-Door Car;Medsize
WE95729;Oregon;3.670.742.639;No;Basic;College;1/17/11;Employed;M;24804;Suburban;Married;104;1;28;0;2;Personal Auto;Personal L2;Offer1;Agent;593.830.288;SUV;Small
PY51963;California;3.347.334.946;Yes;Basic;Bachelor;01/11/2011;Employed;F;33190;Suburban;Divorced;106;18;95;0;2;Corporate Auto;Corporate L1;Offer1;Web;508.8;SUV;Medsize
RB69909;Nevada;7.983.431.709;No;Basic;High School or Below;2/21/11;Employed;F;36014;Rural;Married;69;4;40;3;2;Special Auto;Special L1;Offer4;Branch;173.956.072;Four-Door Car;Medsize
XR95069;Washington;4.854.745.666;No;Basic;Bachelor;2/16/11;Employed;M;29834;Suburban;Single;64;19;44;0;3;Personal Auto;Personal L3;Offer4;Agent;307.2;Four-Door Car;Medsize
FR46645;California;4.293.997.319;No;Premium;Bachelor;1/17/11;Disabled;M;16701;Suburban;Married;113;20;26;0;1;Personal Auto;Personal L2;Offer1;Branch;831.625.979;Four-Door Car;Small
SY17488;Arizona;7.164.395.543;No;Extended;College;02/05/2011;Employed;F;46623;Suburban;Divorced;91;1;53;0;3;Corporate Auto;Corporate L3;Offer3;Call Center;436.8;Four-Door Car;Small
AP67935;California;76.195.158;No;Basic;College;2/13/11;Employed;M;64749;Urban;Married;64;24;59;0;2;Special Auto;Special L2;Offer2;Branch;30.256.519;Four-Door Car;Medsize
FS37417;Arizona;3.958.002.823;No;Basic;High School or Below;2/23/11;Unemployed;F;0;Suburban;Married;101;29;12;0;1;Personal Auto;Personal L2;Offer1;Call Center;484.8;SUV;Small
ML29312;Oregon;4.499.493.252;No;Extended;High School or Below;1/28/11;Disabled;F;16969;Suburban;Divorced;124;34;47;2;1;Personal Auto;Personal L3;Offer1;Call Center;704.768.111;SUV;Medsize
UB61619;Oregon;4.059.567.414;No;Premium;Master;2/28/11;Disabled;F;11621;Suburban;Divorced;108;4;98;0;1;Personal Auto;Personal L1;Offer1;Agent;518.4;Four-Door Car;Medsize
CD86811;Arizona;4.458.113.369;Yes;Basic;Bachelor;01/02/2011;Retired;M;17622;Suburban;Divorced;65;1;36;1;3;Personal Auto;Personal L1;Offer1;Agent;312;Four-Door Car;Medsize
RU83859;California;8.110.333.139;No;Premium;Bachelor;1/22/11;Medical Leave;F;11489;Suburban;Married;105;4;50;0;6;Personal Auto;Personal L3;Offer1;Call Center;504;Two-Door Car;Small
FG63582;Oregon;3.339.764.873;No;Extended;Bachelor;1/15/11;Unemployed;M;0;Suburban;Single;94;20;53;0;1;Personal Auto;Personal L3;Offer1;Agent;863.327.324;Two-Door Car;Small
NN71951;California;2.426.101.777;No;Basic;High School or Below;1/27/11;Employed;F;66525;Rural;Married;100;0;86;0;2;Personal Auto;Personal L3;Offer1;Agent;104.331.355;SUV;Medsize
WB37082;Arizona;6.613.973.653;No;Basic;Bachelor;1/23/11;Unemployed;F;0;Suburban;Single;63;21;28;0;2;Personal Auto;Personal L3;Offer3;Branch;676.391.482;Four-Door Car;Large
SM52139;Washington;2.930.693.543;No;Basic;College;1/31/11;Employed;M;33663;Suburban;Married;73;29;71;0;1;Personal Auto;Personal L3;Offer3;Web;350.4;Four-Door Car;Medsize
FL82372;Oregon;8.672.194.272;No;Basic;College;1/26/11;Employed;F;22547;Suburban;Divorced;112;7;60;0;3;Corporate Auto;Corporate L3;Offer1;Agent;537.6;SUV;Medsize
DP45816;Arizona;1.163.866.926;No;Extended;High School or Below;01/10/2011;Employed;F;61486;Urban;Married;97;5;65;0;2;Personal Auto;Personal L3;Offer4;Branch;465.258.644;Two-Door Car;Small
GW33762;Oregon;6.846.150.323;Yes;Extended;Bachelor;1/27/11;Unemployed;F;0;Suburban;Divorced;95;13;20;0;5;Personal Auto;Personal L3;Offer1;Call Center;456;Two-Door Car;Large
RZ33670;California;1.172.777.648;No;Premium;College;01/09/2011;Disabled;F;29879;Suburban;Married;102;17;0;0;2;Personal Auto;Personal L3;Offer3;Web;500.254.235;Four-Door Car;Medsize
PY70169;Oregon;2.264.383.478;No;Basic;High School or Below;2/24/11;Employed;M;93011;Rural;Divorced;113;17;12;0;2;Personal Auto;Personal L3;Offer4;Agent;281.451.042;SUV;Medsize
MO91628;Oregon;2.614.474.305;No;Basic;Master;02/11/2011;Employed;M;65186;Rural;Married;65;29;27;0;1;Personal Auto;Personal L2;Offer2;Web;5.434.505;Two-Door Car;Large
HW87852;Oregon;2.451.752.695;No;Basic;Master;02/12/2011;Medical Leave;M;26840;Suburban;Married;64;1;47;2;1;Personal Auto;Personal L1;Offer1;Agent;307.2;Four-Door Car;Medsize
HB20453;Oregon;6.781.270.203;No;Basic;Bachelor;02/04/2011;Unemployed;M;0;Suburban;Single;104;30;3;1;5;Personal Auto;Personal L3;Offer1;Agent;982.399.613;Sports Car;Medsize
BN87372;Oregon;4.974.801.539;Yes;Basic;Bachelor;1/18/11;Employed;M;75644;Suburban;Divorced;65;5;68;3;9;Personal Auto;Personal L3;Offer2;Branch;467.803.638;Two-Door Car;Medsize
YX23800;Oregon;8.591.604.933;No;Basic;Bachelor;02/11/2011;Employed;M;38984;Suburban;Married;73;27;38;0;2;Personal Auto;Personal L3;Offer2;Branch;350.4;Four-Door Car;Small
DZ87709;Oregon;5.592.161.392;No;Basic;High School or Below;02/01/2011;Employed;F;71811;Rural;Single;71;17;48;0;6;Personal Auto;Personal L1;Offer2;Call Center;2.903.416;Four-Door Car;Medsize
XW13033;Nevada;8.009.472.833;No;Basic;College;2/15/11;Employed;M;20961;Suburban;Married;67;20;33;0;2;Personal Auto;Personal L1;Offer2;Agent;321.6;Four-Door Car;Medsize
LN31673;Washington;1.131.808.982;No;Extended;College;02/06/2011;Employed;M;38923;Rural;Married;99;6;83;2;2;Personal Auto;Personal L3;Offer1;Agent;115.728.852;Four-Door Car;Medsize
OM82309;California;5.816.655.351;No;Basic;Bachelor;2/27/11;Employed;M;61321;Rural;Single;186;0;30;1;2;Personal Auto;Personal L3;Offer2;Branch;42.763.121;Luxury Car;Small
ZU35962;California;8.025.229.358;No;Extended;College;1/26/11;Unemployed;F;0;Rural;Single;77;20;26;0;2;Personal Auto;Personal L3;Offer3;Branch;25.807.685;Two-Door Car;Large
VH85817;California;5.780.182.197;Yes;Basic;High School or Below;2/26/11;Employed;M;51066;Suburban;Single;74;23;0;0;8;Personal Auto;Personal L3;Offer2;Call Center;787.993.313;Four-Door Car;Medsize
DT85712;California;4.118.539.113;No;Basic;Doctor;1/27/11;Employed;M;34378;Suburban;Married;102;12;54;0;1;Personal Auto;Personal L1;Offer3;Branch;489.6;SUV;Medsize
YJ88573;Nevada;252.307.015;No;Basic;Master;1/16/11;Employed;M;43072;Suburban;Married;63;35;15;0;1;Personal Auto;Personal L3;Offer2;Call Center;302.4;Four-Door Car;Large
SQ19467;Oregon;6.554.216.396;No;Extended;College;1/27/11;Disabled;F;25222;Suburban;Single;90;28;69;0;3;Personal Auto;Personal L3;Offer2;Agent;475.623.251;Four-Door Car;Small
HF88410;Washington;7.703.397.294;No;Basic;High School or Below;2/28/11;Employed;M;36765;Suburban;Married;66;15;32;1;2;Personal Auto;Personal L2;Offer1;Call Center;320.849.072;Four-Door Car;Medsize
ET79815;California;5.926.729.379;Yes;Extended;College;1/25/11;Retired;M;23091;Suburban;Married;96;28;90;5;5;Personal Auto;Personal L1;Offer1;Agent;460.8;Four-Door Car;Medsize
QC35222;California;2.683.470.677;No;Basic;Bachelor;01/01/2011;Employed;F;48269;Urban;Married;69;3;79;3;1;Corporate Auto;Corporate L2;Offer3;Web;282.151.207;Four-Door Car;Medsize
CJ15590;Oregon;2.695.182.419;No;Basic;Bachelor;02/01/2011;Employed;F;32720;Suburban;Divorced;67;13;12;0;1;Personal Auto;Personal L2;Offer3;Branch;321.6;Four-Door Car;Medsize
OI48267;California;604.702.516;Yes;Extended;College;2/19/11;Employed;M;20396;Suburban;Married;76;15;60;1;4;Personal Auto;Personal L3;Offer1;Branch;364.8;Four-Door Car;Medsize
JY67916;Oregon;1.317.101.282;No;Premium;College;1/27/11;Medical Leave;M;21513;Suburban;Married;119;21;81;1;2;Personal Auto;Personal L3;Offer2;Branch;679.827.592;Two-Door Car;Small
OE75231;Washington;1.065.688.195;Yes;Extended;Bachelor;2/27/11;Employed;F;72540;Suburban;Married;88;7;3;0;2;Corporate Auto;Corporate L3;Offer2;Call Center;631.743.039;Two-Door Car;Medsize
CZ33664;Oregon;2.527.653.796;No;Basic;Bachelor;1/17/11;Employed;F;80744;Rural;Married;63;24;84;0;1;Corporate Auto;Corporate L3;Offer1;Agent;11.879.037;Four-Door Car;Medsize
WK30175;Oregon;2.672.095.756;No;Basic;Bachelor;02/10/2011;Employed;M;52822;Suburban;Married;67;23;88;0;1;Corporate Auto;Corporate L1;Offer1;Branch;350.529.033;Two-Door Car;Small
ON44465;California;5.313.294.035;No;Extended;High School or Below;1/24/11;Unemployed;F;0;Suburban;Single;77;8;10;1;9;Personal Auto;Personal L2;Offer1;Agent;8.633.947;Four-Door Car;Medsize
TV87155;Oregon;2.094.619.251;No;Basic;Bachelor;2/24/11;Employed;F;69738;Suburban;Married;74;2;26;1;2;Personal Auto;Personal L3;Offer1;Branch;492.127.532;Four-Door Car;Large
KH48895;Arizona;8.375.353.929;No;Basic;Master;2/15/11;Medical Leave;F;17780;Rural;Married;109;12;18;0;9;Personal Auto;Personal L3;Offer1;Branch;132.588.288;SUV;Medsize
NZ30757;California;4.801.661.503;No;Basic;Bachelor;2/16/11;Medical Leave;M;18107;Suburban;Married;62;29;11;0;8;Personal Auto;Personal L2;Offer1;Agent;297.6;Four-Door Car;Medsize
RI22468;Arizona;574.594.334;No;Basic;Bachelor;1/22/11;Employed;F;57740;Urban;Married;74;30;87;3;9;Personal Auto;Personal L1;Offer3;Web;269.905.129;Four-Door Car;Medsize
FZ30935;Oregon;6.066.115.969;No;Extended;College;2/25/11;Employed;M;32627;Suburban;Married;76;11;60;0;7;Personal Auto;Personal L2;Offer1;Agent;380.036.697;Two-Door Car;Small
UG93476;California;8.002.308.333;Yes;Basic;College;01/11/2011;Unemployed;F;0;Suburban;Married;107;3;65;0;3;Personal Auto;Personal L3;Offer1;Agent;513.6;SUV;Medsize
AB96670;California;2.393.915.369;Yes;Basic;College;1/31/11;Unemployed;M;0;Suburban;Single;70;24;10;0;1;Personal Auto;Personal L1;Offer1;Branch;425.266.308;Four-Door Car;Medsize
XK64261;Oregon;47.628.179;No;Basic;Bachelor;01/12/2011;Employed;M;65795;Rural;Single;62;2;85;1;3;Corporate Auto;Corporate L3;Offer3;Call Center;49.011.099;Two-Door Car;Medsize
EV68375;California;433.038.602;Yes;Premium;College;2/16/11;Employed;M;60475;Suburban;Married;107;9;18;0;1;Personal Auto;Personal L3;Offer2;Branch;513.6;Four-Door Car;Medsize
UN51653;California;9.402.729.769;No;Extended;High School or Below;02/09/2011;Unemployed;F;0;Suburban;Single;130;28;88;0;4;Personal Auto;Personal L3;Offer1;Web;936;SUV;Medsize
TO96662;Oregon;6.966.694.527;No;Extended;Bachelor;1/19/11;Employed;F;41837;Rural;Married;88;29;93;0;9;Personal Auto;Personal L3;Offer1;Call Center;142.062.768;Four-Door Car;Small
MR52087;California;7.694.064.293;No;Basic;Bachelor;01/04/2011;Employed;F;32303;Rural;Married;65;13;34;0;2;Personal Auto;Personal L1;Offer3;Branch;45.152.521;Four-Door Car;Medsize
DE75225;Oregon;8.717.561.149;No;Basic;High School or Below;01/09/2011;Unemployed;M;0;Suburban;Married;117;5;89;1;3;Personal Auto;Personal L1;Offer1;Agent;561.6;SUV;Medsize
EP80820;California;5.928.748.528;No;Basic;Bachelor;1/27/11;Employed;F;40531;Rural;Married;74;17;32;0;9;Personal Auto;Personal L3;Offer1;Agent;30.567.357;Two-Door Car;Medsize
GU99037;Oregon;2.452.977.288;No;Basic;College;2/14/11;Employed;M;79898;Urban;Married;62;5;86;1;1;Corporate Auto;Corporate L1;Offer4;Agent;271.606.799;Four-Door Car;Medsize
WI57118;California;6.701.571.657;No;Extended;College;2/27/11;Employed;M;56398;Suburban;Married;85;4;18;0;7;Personal Auto;Personal L3;Offer4;Agent;408;Four-Door Car;Small
YQ74870;Washington;755.624.034;No;Extended;High School or Below;02/12/2011;Employed;M;35257;Suburban;Divorced;98;16;2;1;8;Corporate Auto;Corporate L2;Offer2;Web;470.4;Four-Door Car;Small
MQ14219;Arizona;84.926.988;No;Basic;College;2/26/11;Employed;M;27804;Suburban;Married;109;19;54;0;7;Personal Auto;Personal L3;Offer2;Branch;784.8;SUV;Medsize
KN20603;Oregon;7.713.494.046;No;Basic;Bachelor;2/20/11;Employed;M;45506;Suburban;Single;66;16;32;2;2;Personal Auto;Personal L3;Offer1;Agent;316.8;Four-Door Car;Medsize
CR48975;Washington;240.845.352;No;Basic;High School or Below;02/02/2011;Employed;M;65196;Suburban;Married;67;0;54;0;2;Personal Auto;Personal L2;Offer4;Branch;396.082.036;Four-Door Car;Medsize
JI70886;California;7.290.069.769;No;Basic;High School or Below;2/15/11;Unemployed;M;0;Suburban;Married;102;11;70;1;3;Corporate Auto;Corporate L2;Offer1;Agent;489.6;SUV;Medsize
VF72557;Oregon;4.772.943.848;Yes;Extended;High School or Below;2/18/11;Retired;M;20993;Suburban;Divorced;133;35;90;0;1;Personal Auto;Personal L3;Offer2;Agent;638.4;SUV;Medsize
OX28638;Arizona;6.806.491.395;No;Extended;High School or Below;1/21/11;Employed;M;37839;Suburban;Married;86;35;77;0;9;Personal Auto;Personal L3;Offer2;Branch;465.633.954;Two-Door Car;Medsize
SK55033;California;2.469.781.334;No;Basic;Bachelor;1/15/11;Employed;F;92711;Suburban;Single;62;24;10;0;1;Personal Auto;Personal L2;Offer3;Agent;368.400.146;Two-Door Car;Medsize
OO88645;California;3.103.923.041;No;Extended;College;02/05/2011;Employed;F;74665;Urban;Married;78;10;90;2;1;Corporate Auto;Corporate L2;Offer2;Call Center;236.902.001;Four-Door Car;Medsize
YT36855;Washington;2.981.875.575;No;Extended;College;2/24/11;Unemployed;M;0;Suburban;Married;83;26;89;0;1;Personal Auto;Personal L2;Offer3;Web;582.679.087;Two-Door Car;Medsize
CW82151;California;8.902.737.595;No;Basic;Bachelor;01/05/2011;Employed;M;46833;Rural;Married;112;6;3;0;9;Personal Auto;Personal L3;Offer1;Call Center;64.109.663;Sports Car;Medsize
DY22043;Oregon;5.499.447.223;No;Basic;High School or Below;1/28/11;Employed;F;88768;Suburban;Married;68;17;77;0;7;Personal Auto;Personal L3;Offer3;Branch;326.4;Two-Door Car;Small
SH36774;California;1.502.359.858;No;Basic;High School or Below;01/12/2011;Employed;M;28262;Suburban;Single;192;9;77;0;3;Personal Auto;Personal L3;Offer3;Web;921.6;Luxury SUV;Medsize
EM43724;Nevada;2.509.107.875;No;Basic;Bachelor;2/16/11;Employed;F;33555;Rural;Married;63;17;11;0;1;Personal Auto;Personal L3;Offer1;Agent;10.189.645;Four-Door Car;Medsize
FH85960;Oregon;312.217.481;No;Premium;College;01/03/2011;Employed;M;42780;Suburban;Divorced;113;10;27;1;2;Personal Auto;Personal L2;Offer1;Call Center;542.4;Four-Door Car;Medsize
XA55993;Oregon;3.133.503.432;No;Extended;Master;02/07/2011;Employed;F;58850;Rural;Single;78;20;26;0;1;Personal Auto;Personal L3;Offer2;Branch;143.747.794;Four-Door Car;Medsize
GO36627;Arizona;3.837.451.863;No;Extended;College;1/13/11;Employed;M;21880;Urban;Married;97;29;37;0;1;Special Auto;Special L2;Offer1;Branch;424.077.159;Four-Door Car;Medsize
QH48047;Oregon;1.179.049.617;Yes;Basic;College;01/03/2011;Retired;M;25251;Suburban;Divorced;66;13;43;0;2;Personal Auto;Personal L2;Offer2;Web;316.8;Four-Door Car;Medsize
RB50392;Washington;7.838.068.321;No;Basic;Master;2/17/11;Unemployed;F;0;Rural;Married;69;9;12;0;2;Personal Auto;Personal L1;Offer2;Agent;2.704.934;Four-Door Car;Medsize
UH65059;Arizona;4.305.808.345;No;Basic;High School or Below;1/21/11;Employed;M;24188;Suburban;Married;109;14;82;0;1;Personal Auto;Personal L3;Offer1;Agent;523.2;Sports Car;Medsize
FV21968;Nevada;5.973.976.904;No;Basic;Bachelor;1/26/11;Employed;F;41611;Rural;Married;74;14;8;0;8;Special Auto;Special L2;Offer1;Branch;113.801.497;Four-Door Car;Medsize
QA87025;Oregon;5.670.442.396;No;Basic;Bachelor;1/31/11;Employed;F;28406;Urban;Married;72;16;35;1;4;Personal Auto;Personal L3;Offer1;Call Center;19.287.572;Four-Door Car;Medsize
TQ13499;Arizona;4.731.749.346;No;Premium;College;01/02/2011;Employed;M;69833;Suburban;Married;118;32;99;0;1;Personal Auto;Personal L3;Offer1;Agent;828.662.719;Four-Door Car;Small
BU44523;Arizona;8.026.379.641;No;Basic;High School or Below;02/07/2011;Unemployed;F;0;Suburban;Single;74;15;91;0;2;Corporate Auto;Corporate L2;Offer1;Web;532.8;Four-Door Car;Small
